country,indicator,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
MEX,GDP,945027051117.0,940766441516.0,938540700989.0,949667522095.0,983527357381.0,1004311720993.0,1052569035045.0,1074439987409.0,1084575522159.0,1016298775551.0,1066822388048.0,1103564231781.0,1142776194808.0,1152513808584.0,1181370028689.0,1213294467716.0,1234800030119.0,1257912134612.0,1282719194577.0,1277682078094.0,1170944075446.0,1241768434200.0,1287835026749.0,1331023107619.0,1350022500028.0,
BRA,Industry,263746564360.0,262052256484.0,272018678710.0,272300543420.0,294669732341.0,300546587562.0,306576919035.0,325605118776.0,338953663369.0,323015083241.0,355972542471.0,370618410318.0,367939490180.0,375909863266.0,370240451608.0,348909035724.0,332976807470.0,331309492776.0,333684919328.0,331449105098.0,321602048006.0,337795714721.0,342933018784.0,348688610829.0,359444108388.0,
BRA,Manufacturing,161965845835.0,163121291197.0,166535427852.0,170964220179.0,186492593656.0,190675077828.0,193027245112.0,204881645513.0,213383310311.0,193615573834.0,211408912702.0,216159660370.0,211017891926.0,217376496201.0,207187988125.0,189609597292.0,180570864419.0,184741224204.0,187314291723.0,186516699449.0,177812870193.0,184529947607.0,183521261797.0,181185213270.0,188201970789.0,
BRA,GDP,1186418964121.0,1202908958645.0,1239639324869.0,1253781489768.0,1325998860202.0,1368459094848.0,1422677289673.0,1509031960316.0,1585904997750.0,1583909738906.0,1703150040806.0,1770840429106.0,1804861390164.0,1859094274383.0,1868463286696.0,1802211999456.0,1743173031878.0,1766232928473.0,1797736638146.0,1819683008336.0,1760056385298.0,1843880907790.0,1899505159031.0,1961080569227.0,2028136094548.0,
DEU,Industry,783998702448.0,775610477973.0,753339745766.0,749233777601.0,768187489287.0,768506641477.0,806456064467.0,834965914699.0,823136814723.0,709637171180.0,813935671989.0,854562269568.0,855914638945.0,846222333425.0,880834787607.0,886200121616.0,917568008193.0,946239557982.0,957856597652.0,944974567007.0,888996373396.0,930628317730.0,912263774749.0,890502673319.0,855074197358.0,
DEU,Manufacturing,539293656161.0,547226445368.0,531496473904.0,537463020655.0,558549302291.0,567634713460.0,616790849099.0,644725096152.0,631435986169.0,505664086863.0,604654371683.0,659166828098.0,647708364225.0,647369352151.0,683371984757.0,689745331150.0,716594754413.0,740325302652.0,749614118946.0,739104871912.0,678015663981.0,739850694233.0,754631438253.0,742630557182.0,710831623390.0,
DEU,GDP,2885963533943.0,2933181986968.0,2926486831428.0,2910982263391.0,2944810405337.0,2970886268370.0,3085761005285.0,3174912263837.0,3203102383827.0,3025504625850.0,3150598283304.0,3268996785218.0,3284148978797.0,3297186905208.0,3369071713224.0,3425099578746.0,3501212900675.0,3599173571724.0,3640049243667.0,3675639268112.0,3523764998709.0,3661544208117.0,3727790994177.0,3695372350062.0,3677048776153.0,
FRA,Industry,401688734878.0,411822188769.0,413154687903.0,418428608390.0,428655877726.0,435005051134.0,445388075429.0,458597183374.0,447729197197.0,418213259302.0,418770181894.0,425545042880.0,418684895126.0,422633032812.0,421544347224.0,420997232611.0,418179677637.0,423759457794.0,430960965835.0,439589641322.0,402175082670.0,427631583648.0,394398421990.0,420649689033.0,429992214764.0,
FRA,Manufacturing,229662594664.0,232050241896.0,231055854367.0,236476594455.0,242320829862.0,246524890127.0,253116825615.0,258866102315.0,251027620038.0,234457610444.0,239782935839.0,248953575936.0,247037416360.0,247659720788.0,251167037205.0,252062134176.0,253215204205.0,258347306299.0,263158167529.0,268228939748.0,244339243893.0,265433870641.0,255546195400.0,262651683086.0,268747963756.0,
FRA,GDP,2025858476151.0,2064338989612.0,2086380974762.0,2106573536968.0,2166995343501.0,2207920477337.0,2267844862926.0,2325232266328.0,2334072135222.0,2268145064848.0,2313515332182.0,2369909039106.0,2374265767668.0,2392826743357.0,2416703156974.0,2442483452642.0,2463489569347.0,2514819204088.0,2556210832760.0,2608036638906.0,2413981867676.0,2580120255051.0,2650215998256.0,2688358302961.0,2720362347819.0,
ITA,Industry,442717260760.0,445250386677.0,447880909036.0,442079682378.0,450992172860.0,452777126328.0,466924470887.0,475066383645.0,461846760647.0,392148558097.0,408969803260.0,410355656397.0,390841890721.0,380497815791.0,371647630386.0,374428646614.0,382988074997.0,394645467271.0,399619335717.0,402414572644.0,358182265527.0,415407073691.0,428926865972.0,437411405496.0,438655153952.0,
